PLACE,Mesa city,Phoenix city,Tucson city,Los Angeles city,Sacramento city,San Diego city,San Francisco city,San Jose city,Denver city,Washington city,Jacksonville city,Chicago city,Detroit city,Las Vegas city,New York city,Charlotte city,Columbus city,Oklahoma City city,Portland city,Philadelphia city,Memphis city,El Paso city,Houston city,Seattle city,Milwaukee city
Mesa city,0.0,0.4618333333333333,2.074777777777778,7.439138888888889,14.028305555555557,7.329861111111111,14.098055555555556,13.350555555555555,15.19825,40.99197222222222,35.67125,31.178333333333335,35.633361111111114,6.313944444444445,44.02144444444445,36.975611111111114,33.68405555555556,16.96061111111111,25.14247222222222,42.48458333333333,25.19333333333333,7.58075,13.18675,26.87997222222222,32.632
Phoenix city,0.4618333333333333,0.0,2.059972222222222,7.05225,13.641416666666666,6.942972222222222,13.711166666666665,12.963666666666667,15.413472222222222,41.20719444444444,35.656444444444446,31.393555555555558,35.84858333333333,5.916944444444445,44.236666666666665,37.068361111111116,33.899277777777776,17.175833333333333,24.755583333333334,42.69980555555555,25.408555555555555,7.565944444444445,13.171944444444444,26.482972222222223,32.84722222222222
Tucson city,2.074777777777778,2.059972222222222,0.0,9.098833333333333,15.688,8.989555555555556,15.75775,15.010250000000001,15.601999999999999,40.202777777777776,33.66952777777778,31.307916666666667,35.76294444444444,7.973638888888888,44.151027777777784,35.08144444444444,33.81363888888889,17.090194444444442,26.80216666666667,42.61416666666667,24.20761111111111,5.579027777777778,11.185027777777778,28.53966666666667,33.01902777777778
Los Angeles city,7.439138888888889,7.05225,9.098833333333333,0.0,7.475888888888889,0.6194999999999999,7.545638888888889,6.7981388888888885,18.261027777777777,47.40863888888889,42.61497222222222,35.83991666666667,40.57886111111111,5.374722222222222,50.18533333333334,43.39227777777778,40.100722222222224,23.377277777777778,18.590055555555555,48.90125,31.61,14.524472222222222,20.13047222222222,21.883166666666664,36.63608333333333
Sacramento city,14.028305555555557,13.641416666666666,15.688,7.475888888888889,0.0,7.004555555555556,1.8516666666666666,2.3546666666666667,20.02125,47.86736111111111,48.93225,35.25183333333334,39.99077777777777,10.421583333333333,49.59725,47.504472222222226,41.04766666666667,28.424138888888887,11.261472222222222,48.81066666666666,36.65686111111111,21.138972222222222,26.74497222222222,14.554583333333333,36.048
San Diego city,7.329861111111111,6.942972222222222,8.989555555555556,0.6194999999999999,7.004555555555556,0.0,7.0023888888888886,6.254888888888888,18.139,47.28661111111111,42.526583333333335,35.717888888888886,40.456833333333336,5.252694444444445,50.06330555555555,43.27025,39.97869444444444,23.255249999999997,18.046805555555554,48.779222222222224,31.487972222222222,14.436083333333334,20.042083333333334,21.339916666666667,36.51405555555556
San Francisco city,14.098055555555556,13.711166666666665,15.75775,7.545638888888889,1.8516666666666666,7.0023888888888886,0.0,1.0578333333333332,21.720083333333335,49.56619444444444,49.09338888888889,36.95066666666666,41.68961111111111,10.582722222222223,51.29608333333333,48.60027777777778,42.7465,28.585277777777776,12.275361111111112,50.5095,36.818,21.2105,26.816499999999998,15.568472222222223,37.746833333333335
San Jose city,13.350555555555555,12.963666666666667,15.010250000000001,6.7981388888888885,2.3546666666666667,6.254888888888888,1.0578333333333332,0.0,22.247944444444446,50.094055555555556,48.34436111111111,37.47852777777778,42.21747222222222,9.833694444444445,51.82394444444445,47.85125,43.27436111111111,27.83625,12.803222222222221,51.03736111111111,36.06897222222222,20.461472222222223,26.06747222222222,16.096333333333334,38.27469444444444
Denver city,15.19825,15.413472222222222,15.601999999999999,18.261027777777777,20.02125,18.139,21.720083333333335,22.247944444444446,0.0,30.027749999999997,31.352277777777775,17.946333333333335,22.685277777777777,12.9265,32.29175,28.556472222222222,22.71983333333333,11.563,21.50722222222222,31.505166666666668,18.979916666666664,12.204916666666666,12.187166666666668,22.916305555555553,18.7425
Washington city,40.99197222222222,41.20719444444444,40.202777777777776,47.40863888888889,47.86736111111111,47.28661111111111,49.56619444444444,50.094055555555556,30.027749999999997,0.0,13.129972222222223,12.934194444444444,9.81475,42.72438888888889,4.579916666666667,7.954055555555555,7.613416666666667,24.147805555555557,49.2235,2.9165277777777776,16.06147222222222,34.693694444444446,29.768,48.92177777777778,15.055583333333333
